,X1,X2,X3,X4,X5
1,564,1,0.14,0.14,0.14
2,533,2,0.14,0.14,0.14
3,672,3,0.14,0.14,0.14
4,542,4,0.14,0.14,0.14
5,553,5,0.14,0.14,0.14
6,499,6,0.14,0.14,0.14
7,531,1,0.14,0.14,0.39
8,532,2,0.14,0.14,0.39
9,672,3,0.14,0.14,0.39
10,546,4,0.14,0.14,0.39
11,560,5,0.14,0.14,0.39
12,472,6,0.14,0.14,0.39
13,532,1,0.14,0.14,0.59
14,533,2,0.14,0.14,0.59
15,671,3,0.14,0.14,0.59
16,544,4,0.14,0.14,0.59
17,559,5,0.14,0.14,0.59
18,470,6,0.14,0.14,0.59
19,20802,1,0.14,0.14,0
20,531,2,0.14,0.14,0
21,670,3,0.14,0.14,0
22,544,4,0.14,0.14,0
23,553,5,0.14,0.14,0
24,476,6,0.14,0.14,0
25,448,1,0.26,0.14,0.14
26,409,2,0.26,0.14,0.14
27,454,3,0.26,0.14,0.14
28,404,4,0.26,0.14,0.14
29,397,5,0.26,0.14,0.14
30,363,6,0.26,0.14,0.14
31,406,1,0.26,0.14,0.39
32,407,2,0.26,0.14,0.39
33,454,3,0.26,0.14,0.39
34,407,4,0.26,0.14,0.39
35,410,5,0.26,0.14,0.39
36,371,6,0.26,0.14,0.39
37,407,1,0.26,0.14,0.59
38,407,2,0.26,0.14,0.59
39,453,3,0.26,0.14,0.59
40,405,4,0.26,0.14,0.59
41,395,5,0.26,0.14,0.59
42,364,6,0.26,0.14,0.59
43,6028,1,0.26,0.14,0
44,408,2,0.26,0.14,0
45,455,3,0.26,0.14,0
46,407,4,0.26,0.14,0
47,421,5,0.26,0.14,0
48,375,6,0.26,0.14,0
49,428,1,0.39,0.14,0.14
50,406,2,0.39,0.14,0.14
51,423,3,0.39,0.14,0.14
52,404,4,0.39,0.14,0.14
53,397,5,0.39,0.14,0.14
54,398,6,0.39,0.14,0.14
55,405,1,0.39,0.14,0.39
56,408,2,0.39,0.14,0.39
57,423,3,0.39,0.14,0.39
58,405,4,0.39,0.14,0.39
59,420,5,0.39,0.14,0.39
60,382,6,0.39,0.14,0.39
61,406,1,0.39,0.14,0.59
62,406,2,0.39,0.14,0.59
63,424,3,0.39,0.14,0.59
64,402,4,0.39,0.14,0.59
65,410,5,0.39,0.14,0.59
66,393,6,0.39,0.14,0.59
67,2688,1,0.39,0.14,0
68,406,2,0.39,0.14,0
69,423,3,0.39,0.14,0
70,405,4,0.39,0.14,0
71,417,5,0.39,0.14,0
72,380,6,0.39,0.14,0
73,414,1,0.59,0.14,0.14
74,405,2,0.59,0.14,0.14
75,412,3,0.59,0.14,0.14
76,405,4,0.59,0.14,0.14
77,413,5,0.59,0.14,0.14
78,398,6,0.59,0.14,0.14
79,407,1,0.59,0.14,0.39
80,406,2,0.59,0.14,0.39
81,413,3,0.59,0.14,0.39
82,404,4,0.59,0.14,0.39
83,411,5,0.59,0.14,0.39
84,407,6,0.59,0.14,0.39
85,407,1,0.59,0.14,0.59
86,407,2,0.59,0.14,0.59
87,412,3,0.59,0.14,0.59
88,403,4,0.59,0.14,0.59
89,404,5,0.59,0.14,0.59
90,404,6,0.59,0.14,0.59
91,1182,1,0.59,0.14,0
92,406,2,0.59,0.14,0
93,413,3,0.59,0.14,0
94,405,4,0.59,0.14,0
95,409,5,0.59,0.14,0
96,382,6,0.59,0.14,0
97,445,1,0.14,0.26,0.14
98,407,2,0.14,0.26,0.14
99,452,3,0.14,0.26,0.14
100,405,4,0.14,0.26,0.14
101,397,5,0.14,0.26,0.14
102,351,6,0.14,0.26,0.14
103,406,1,0.14,0.26,0.39
104,406,2,0.14,0.26,0.39
105,453,3,0.14,0.26,0.39
106,403,4,0.14,0.26,0.39
107,413,5,0.14,0.26,0.39
108,374,6,0.14,0.26,0.39
109,406,1,0.14,0.26,0.59
110,406,2,0.14,0.26,0.59
111,451,3,0.14,0.26,0.59
112,406,4,0.14,0.26,0.59
113,400,5,0.14,0.26,0.59
114,381,6,0.14,0.26,0.59
115,6353,1,0.14,0.26,0
116,406,2,0.14,0.26,0
117,453,3,0.14,0.26,0
118,404,4,0.14,0.26,0
119,404,5,0.14,0.26,0
120,344,6,0.14,0.26,0
121,224,1,0.26,0.26,0.14
